Logo (ruta),Título,Descripción,Inscripciones,Vistas,Rating general,Rating por estrellas,Rating del contenido
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bf/7d68f6a8fb49b9927c92682f22bac4/QuimicaenMiCasa_FINAL.jpg,¡¿Cómo?! ¿Química en mi casa?,"En este curso, ofrecido por la UNAM, el participante conocerá una buena parte de la química que lo rodea y tendrá elementos para saber que la química no es tan mala como nos quieren hacer creer.",69603,60892,4.8,"[{'Estrellas': 5, 'Porcentaje': '86.43'}, {'Estrellas': 4, 'Porcentaje': '10.75'}, {'Estrellas': 3, 'Porcentaje': '1.91'}, {'Estrellas': 2, 'Porcentaje': '0.33'}, {'Estrellas': 1, 'Porcentaje': '0.56'}]",99
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8d/4da7e0226811e89d2ab5602f9e8b02/Mesa-de-trabajo-18_72x-100.jpg,¿Cómo llegamos aquí? Una historia del poder en México ,"Este curso, ofrecido por la UNAM, presenta una visión sintética de dos dimensiones clave para analizar el funcionamiento de la política mexicana actual: la política interna y las relaciones con el exterior. Además, incluye un estudio de caso – los conflictos por el petróleo –como un ejemplo de la relación entre ambas dimensiones y sus consecuencias prácticas. El enfoque del curso es histórico, es decir, se verá cómo se desarrollaron los procesos políticos en el tiempo. Esta perspectiva permitirá al participante  interpretar los acontecimientos actuales como consecuencia de grandes procesos que iniciaron hace tiempo, y no como eventos aislados o inexplicables.",21202,31642,4.8,"[{'Estrellas': 5, 'Porcentaje': '85.07'}, {'Estrellas': 4, 'Porcentaje': '13.68'}, {'Estrellas': 3, 'Porcentaje': '0.49'}, {'Estrellas': 2, 'Porcentaje': '0.49'}, {'Estrellas': 1, 'Porcentaje': '0.24'}]",98
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/20/b613075a114574be014b318707f049/Diabetes._FINALpsd.jpg,Actualización en el manejo del paciente con diabetes mellitus tipo 2,"Este curso está diseñado para ofrecer información actualizada sobre el manejo del paciente con diabetes mellitus tipo 2, con la finalidad de mejorar su atención médica. El curso está dirigido a médicos y profesionales sanitarios que tienen contacto con pacientes diabéticos; con ello, se busca disminuir la morbimortalidad de esta enfermedad y mejorar la calidad de vida de quienes la padecen. Este curso incluye temas relacionados con el manejo nutricional y la actividad física, así como estrategias de manejo farmacológico según el contexto clínico del paciente, a partir de sus comorbilidades y preferencias.",32275,49746,4.8,"[{'Estrellas': 5, 'Porcentaje': '86.58'}, {'Estrellas': 4, 'Porcentaje': '11.74'}, {'Estrellas': 3, 'Porcentaje': '1.16'}, {'Estrellas': 2, 'Porcentaje': '0.25'}, {'Estrellas': 1, 'Porcentaje': '0.25'}]",96
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/12/d592d6489f4c9d849cd739519410a8/AcuerdosGlobales_FINAL.jpg,Acuerdos globales para el desarrollo sostenible,"Los fenómenos naturales son factores de riesgo relevantes, que causan importantes daños y pérdidas económicas, afectando con una fuerza particular al sector agropecuario y al medio rural. En este contexto la acción climática es determinante y debe ser considerada parte decisiva del desarrollo. Precisamente durante el año 2015 se generaron importantes acuerdos globales sobre el desarrollo sostenible, que representan una ambiciosa agenda de transformación hacia al 2030 para luchar contra la pobreza y garantizar un desarrollo ambientalmente sostenible que considera la urgente necesidad de contar con una decisiva acción climática.

En este curso se expondrá el nuevo marco global para el desarrollo sostenible, su relevancia, implicaciones y oportunidades, a efectos de beneficiar el agro, la seguridad alimentaria y el medio rural; para lo cual se están considerando como instrumentos clave: el Marco de Sendai para la Reducción del Riesgo de Desastres 2015-2030, la Agenda de Acción de Addis Abeba de la Tercera Conferencia Internacional sobre la Financiación del Desarrollo, la Agenda 2030 para el Desarrollo Sostenible, los Objetivos de Desarrollo Sostenible y el Acuerdo de París.

El objetivo general del curso es: 
Comprender el nuevo marco global, su relevancia, implicaciones y oportunidades para el sector agrícola; la trascendencia del nuevo marco global de acción, su alcance y el compromiso de los países contenidos en el Marco de Sendai, Agenda de Acción de Addis Abeba, Agenda 2030 para el Desarrollo Sostenible y Acuerdo de París.

Este curso fue desarrollado por la Universidad Nacional Autónoma de México en conjunto con el Instituto Interamericano de Cooperación para la Agricultura.",14634,20980,4.7,"[{'Estrellas': 5, 'Porcentaje': '80.82'}, {'Estrellas': 4, 'Porcentaje': '15.05'}, {'Estrellas': 3, 'Porcentaje': '2.68'}, {'Estrellas': 2, 'Porcentaje': '0.82'}, {'Estrellas': 1, 'Porcentaje': '0.61'}]",98
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c3/1f53e13be647928858edae554104c8/Finanzas-1.jpg,Administración financiera y su función en la empresa ,"Las finanzas corporativas son importantes en cualquier organización pues nos dan a conocer las necesidades de inversión y financiamiento de cualquier ente económico. Son indispensables para que el administrador financiero tome decisiones correctas en las áreas de operación, inversión y financiamiento para tal efecto, requiere de una serie de herramientas que le permitan planear, monitorear y controlar  los recursos monetarios de una organización.A lo largo de este curso el administrador financiero obtendrá herramientas que le permitan analizar los estados financieros básicos, medir el desempeño de una organización, presupuestar los bienes de capital, estructurar el capital y establecer la política de dividendos así como valuar empresas a través de diferentes métodos. 

En todo momento el administrador financiero, ya sea principiante o experto deberá tener en cuenta el dilema que surge de la teoría de la agencia, es por eso que en este curso se presenta la contrapropuesta del también llamado modelo Anglosajón o financiero es decir es decir el modelo Stakeholder o modelo de los interesados. Con esta óptica en mente, el administrador financiero tendrá un punto de vista adicional al tradicional paradigma de maximización de valor de los accionistas.",28388,63797,4.8,"[{'Estrellas': 5, 'Porcentaje': '84.33'}, {'Estrellas': 4, 'Porcentaje': '13.31'}, {'Estrellas': 3, 'Porcentaje': '1.65'}, {'Estrellas': 2, 'Porcentaje': '0.17'}, {'Estrellas': 1, 'Porcentaje': '0.52'}]",98
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/24/a35193920746a6b861a9cf51b73563/Habilidades-gerenciales_5.jpg,Administración para obtener resultados,"La planeación estratégica es una metodología de gran impacto que ha demostrado su eficacia en las mejores empresas del mundo. En este curso, revisaremos los principios básicos de la estrategia organizacional que permiten definir objetivos y tácticas para delimitar indicadores y líneas de acción que generen y mantengan la calidad y productividad en todas la áreas de una empresa.",9166,33262,4.9,"[{'Estrellas': 5, 'Porcentaje': '87.81'}, {'Estrellas': 4, 'Porcentaje': '10.62'}, {'Estrellas': 3, 'Porcentaje': '1.25'}, {'Estrellas': 2, 'Porcentaje': '0.31'}]",98
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ce/82055eb8f0450d8c36a3462e851477/AgriculturUrban2_FINAL.jpg,Agricultura urbana y periurbana,"Este curso explica un conjunto de conceptos y herramientas básicas y necesarias para la producción de alimentos agrícolas y pecuarios en pequeños espacios haciendo énfasis en la sustentabilidad de los mismos. Revisando temas como plagas y enfermedades, promueve el rescate de conocimientos tradicionales que, con bajo costo, permiten grandes beneficios encaminados a la seguridad alimentaria y crecimiento de huertas familiares. La Agricultura Urbana y periurbana no es resultado de una moda sino de una posible solución a los problemas de inseguridad alimentaria que muchos países enfrentan, por lo que hay conceptos, teorías y metodologías que explican su existencia y orientan su práctica. Apropiarse de dichas nociones aunado a una implementación adecuada permite obtener los resultados esperados que impacten la seguridad alimentaria, la salud, el trabajo y los ingresos económicos de las familias que decidan efectuarla.

Este curso fue desarrollado por la Universidad Nacional Autónoma de México en colaboración con  el Instituto Interamericano de Cooperación para la Agricultura",38463,42331,4.7,"[{'Estrellas': 5, 'Porcentaje': '75.92'}, {'Estrellas': 4, 'Porcentaje': '17.70'}, {'Estrellas': 3, 'Porcentaje': '4.07'}, {'Estrellas': 2, 'Porcentaje': '1.27'}, {'Estrellas': 1, 'Porcentaje': '1.01'}]",97
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6d/b71e9bfe5742699a72cc61c3308491/Algebrabasica2_FINAL.jpg,Álgebra básica,"Galileo dijo: ""El Universo está escrito en lenguaje matemático y los caracteres son triángulos, círculos y otras figuras geométricas, sin las que es humanamente imposible entender una sola palabra"".Para entender el Universo, es necesario plantear leyes que expliquen su comportamiento, como pueden ser las leyes de la gravedad, la propagación del calor, el electromagnetismo, la reproducción celular, el crecimiento poblacional, la propagación de las enfermedades, la variación de los precios de las acciones en la bolsa de valores, el comportamiento de las masas ante un conflicto, etcétera.
    Todas estas leyes se plantean utilizando ecuaciones, algunas muy sencillas, otras no tanto. Para poder aplicar estas ecuaciones para resolver problemas, es necesario manipularlas  siguiendo ciertas reglas que nos da el álgebra.
    Piensa en el álgebra como la gramática, que nos dice cómo traducir nuestras ideas al lenguaje, cómo formar frases y oraciones a partir de palabras, cómo conjugar verbos, a identificar las partes de una oración, las reglas de acentuación, etcétera.
    En este curso, ofrecido por la UNAM, aprenderás a construir expresiones algebraicas a partir de frases, lo que te permitirá resolver problemas en los que  conoces algunos datos numéricos y necesitas encontrar otros.
    Podrás plantear y resolver ecuaciones de primer grado, ecuaciones simultáneas y ecuaciones de segundo grado.
    Este curso te va a ser muy útil si actualmente estas llevando un curso de álgebra en la escuela y tienes problemas con él. También si ya has estudiado álgebra y necesitas repasarla, ya que necesitas recordarla para tener éxito en otros cursos más avanzados, como Geometría Analítica, Cálculo o Estadística.",205301,188055,4.8,"[{'Estrellas': 5, 'Porcentaje': '82.58'}, {'Estrellas': 4, 'Porcentaje': '13.67'}, {'Estrellas': 3, 'Porcentaje': '2.14'}, {'Estrellas': 2, 'Porcentaje': '0.65'}, {'Estrellas': 1, 'Porcentaje': '0.94'}]",93
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6e/31072e12934d09a96dbf7317182f40/Anticorrupcion_FINAL.jpg,Anticorrupción: Introducción a conceptos y perspectiva práctica,"La corrupción es uno de los principales problemas en México. Los eventos de corrupción afectan de manera directa la calidad de vida de las personas, su desarrollo, el crecimiento económico y social del país, así como la confianza en el gobierno. El objetivo del curso es presentar los conceptos centrales del fenómeno social denominado corrupción, analizar su relación con la ética e integridad en el servicio público, así como con los derechos humanos. También, que se conozcan las principales leyes y su alcance en materia anticorrupción, así como introducir a los participantes en el análisis de redes de corrupción y responsabilidades por actos de corrupción. 

En este curso los participantes aprenderán a identificar los aspectos retóricos, normativos y prácticos de la corrupción.",21882,77499,4.9,"[{'Estrellas': 5, 'Porcentaje': '88.77'}, {'Estrellas': 4, 'Porcentaje': '9.16'}, {'Estrellas': 3, 'Porcentaje': '1.03'}, {'Estrellas': 2, 'Porcentaje': '0.45'}, {'Estrellas': 1, 'Porcentaje': '0.57'}]",97
https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/37/f029cdcd464936b60571da766bba4d/TecMusical_5.jpg,Aplicaciones musicales con Arduino,"En este curso nos adentraremos en el terreno del hardware. Concretamente, aprenderemos a utilizar la placa de desarrollo de hardware de código abierto, llamada Arduino, enfocándonos en las aplicaciones que esta ofrece para la experimentación musical. De manera más específica, aprenderemos en este curso a construir nuestros propios generadores de sonido, y a partir de ello haremos instalaciones sonoras que nos permitirán expandir nuestra creatividad hacia el terreno de las cosas materiales, y ya no solo de los datos informáticos.",0,4681,4.4,"[{'Estrellas': 5, 'Porcentaje': '75'}, {'Estrellas': 4, 'Porcentaje': '12.50'}, {'Estrellas': 3, 'Porcentaje': '12.50'}]",0
